item,name,homepage_url,repo_url,logo,crunchbase,twitter,category,subcategory,project,license,description,stock_ticker,additional_repos,url_for_bestpractices,organization.name
,xLearn,https://xlearn-doc.readthedocs.io/en/latest/index.html,https://github.com/aksnzhy/xlearn,xlearn.svg,https://www.crunchbase.com/organization/xlearn-open-source-projects,,Machine Learning,Library,,,,,,,
,DeepRec,https://deeprec.readthedocs.io/,https://github.com/alibaba/DeepRec,deeprec.svg,https://www.crunchbase.com/organization/lf-artificial-intelligence-foundation,,Deep Learning,Framework,sandbox,Apache 2.0,,,,,
,Apache SINGA,https://singa.apache.org/en/index.html,https://github.com/apache/singa,apache-singa.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheSinga,Deep Learning,Framework,,,,,,,
,Chainer,https://chainer.org/,https://github.com/chainer/chainer,chainer.svg,https://www.crunchbase.com/organization/preferred-networks,https://twitter.com/CuPy_Team,Deep Learning,Framework,,,,,,,
,CNTK,https://docs.microsoft.com/en-us/cognitive-toolkit/,https://github.com/Microsoft/CNTK,cntk.svg,https://www.crunchbase.com/organization/microsoft,https://twitter.com/mscntk,Deep Learning,Framework,,,,,,,
,Dynamic Neural Network Toolkit,https://dynet.readthedocs.io/en/latest/,https://github.com/clab/dynet,dynet.svg,https://www.crunchbase.com/organization/carnegie-mellon-university,,Deep Learning,Framework,,,,,,,
,euler,https://github.com/alibaba/euler,https://github.com/alibaba/euler,euler.svg,https://www.crunchbase.com/organization/alibaba,,Deep Learning,Framework,,,,,,,
,MindSpore,https://www.mindspore.cn/en,https://github.com/mindspore-ai/mindspore,mindspore.svg,https://www.crunchbase.com/organization/huawei,,Deep Learning,Framework,,,,,,,
,MXNet,https://mxnet.apache.org/versions/1.6,https://github.com/apache/incubator-mxnet,apache-mxnet.svg,https://www.crunchbase.com/organization/apache,https://twitter.com/ApacheMXNet,Deep Learning,Framework,,,,,,,
,ncnn,https://github.com/Tencent/ncnn,https://github.com/Tencent/ncnn,ncnn.svg,https://www.crunchbase.com/organization/tencent,,Deep Learning,Framework,,,,,,,
,PaddlePaddle,https://www.paddlepaddle.org.cn,https://github.com/PaddlePaddle/Paddle,paddlepaddle.svg,https://www.crunchbase.com/organization/baidu,,Deep Learning,Framework,,,,,,,
,Pythia,https://github.com/facebookresearch/mmf,https://github.com/facebookresearch/mmf,pythia.svg,https://www.crunchbase.com/organization/facebook,,Deep Learning,Framework,,,,,,,
,PyTorch,https://pytorch.org/,https://github.com/pytorch/pytorch,py-torch.svg,https://www.crunchbase.com/organization/pytorch,https://twitter.com/PyTorch,Deep Learning,Framework,,,,,,,
