id,name,homepage_url,repo_url,category,subcategory
keras,Keras,https://keras.io/,https://github.com/keras-team/keras,Deep Learning,Library
neuralnetworklibraries,Neural Network Libraries,https://nnabla.org,https://github.com/sony/nnabla,Deep Learning,Library
pytorchignite,PyTorch Ignite,https://pytorch.org/ignite/,https://github.com/pytorch/ignite,Deep Learning,Library
pytorchlightning,PyTorch Lightning,https://github.com/PyTorchLightning/pytorch-lightning,https://github.com/PyTorchLightning/pytorch-lightning,Deep Learning,Library
pytorchvideo,PyTorchVideo,https://pytorchvideo.org/,https://github.com/facebookresearch/pytorchvideo,Deep Learning,Library
beyondml,BeyondML,https://github.com/Beyond-ML-Labs/mann,https://github.com/Beyond-ML-Labs/mann,Deep Learning,Tool
botorch,BoTorch,https://botorch.org/,https://github.com/pytorch/botorch,Deep Learning,Tool
neuralnetworkdistiller,Neural Network Distiller,https://nervanasystems.github.io/distiller/,https://github.com/IntelLabs/distiller,Deep Learning,Tool
plaidml,Plaid ML,https://www.intel.com/content/www/us/en/artificial-intelligence/plaidml.html,https://github.com/plaidml/plaidml,Deep Learning,Tool
pytorchbiggraph,PyTorch BigGraph,https://torchbiggraph.readthedocs.io/en/latest/,https://github.com/facebookresearch/PyTorch-BigGraph,Deep Learning,Tool
pytorchgeometric,PyTorch Geometric,https://pytorch-geometric.readthedocs.io/en/latest,https://github.com/pyg-team/pytorch_geometric,Deep Learning,Tool
tvm,TVM,https://tvm.ai/,https://github.com/apache/tvm,Deep Learning,Tool
datapractices,DataPractices,https://datapractices.org/,https://github.com/datapractices/data-practices-site,Data,Education
opends4all,OpenDS4All,https://github.com/odpi/OpenDS4All,https://github.com/odpi/OpenDS4All,Data,Education
openbytes,OpenBytes,https://www.openbytes.io/,https://github.com/Project-OpenBytes/OpenBytes,Data,Lineage
opendataology,OpenDataology,https://github.com/OpenDataology/,https://github.com/OpenDataology/OpenDataology,Data,Lineage
openlineage,OpenLineage,https://github.com/OpenLineage,https://github.com/OpenLineage/OpenLineage,Data,Lineage
couchdb,CouchDB,https://iceberg.apache.org/,https://github.com/apache/couchdb,Data,Relational DB
mysql,MySQL,https://www.mysql.com/,https://github.com/mysql/mysql-server,Data,Relational DB
postgres,Postgres,https://www.postgresql.org,https://github.com/postgres/postgres,Data,Relational DB
tikv,TiKV,https://tikv.org,https://github.com/tikv/tikv,Data,Relational DB
lakesoul,LakeSoul,https://www.dmetasoul.com/en/docs/lakesoul/,https://github.com/meta-soul/LakeSoul,Data,Store & Format
docarrary,Docarrary,https://docarray.jina.ai/,https://github.com/docarray/docarray,Data,Store & Format
alluxio,Alluxio,https://www.alluxio.io/,https://github.com/alluxio/alluxio,Data,Store & Format
apacheiceberg,Apache Iceberg,https://iceberg.apache.org/,https://github.com/apache/iceberg,Data,Store & Format
apacheorc,Apache ORC,https://orc.apache.org/,https://github.com/apache/orc,Data,Store & Format
aresdb,AresDB,https://eng.uber.com/aresdb/,https://github.com/uber/aresdb,Data,Store & Format
arrow,Arrow,https://arrow.apache.org/,https://github.com/apache/arrow,Data,Store & Format
avro,Avro,https://avro.apache.org/,https://github.com/apache/avro,Data,Store & Format
ceph,Ceph,https://www.ceph.io/en/,https://github.com/ceph/ceph,Data,Store & Format
deltalake,Delta Lake,https://delta.io/,https://github.com/delta-io/delta,Data,Store & Format
druid,Druid,https://druid.apache.org/,https://github.com/apache/druid,Data,Store & Format
hudi,Hudi,https://eng.uber.com/hoodie/,https://github.com/apache/hudi,Data,Store & Format
hugegraph,HugeGraph,https://hugegraph.apache.org/,https://github.com/apache/incubator-hugegraph,Data,Store & Format
influxdb,InfluxDB,https://www.influxdata.com/,https://github.com/influxdata/influxdb,Data,Store & Format
janusgraph,JanusGraph,https://janusgraph.org/,https://github.com/JanusGraph/janusgraph,Data,Store & Format
milvus,Milvus,https://milvus.io,https://github.com/milvus-io/milvus,Data,Store & Format
pandas,pandas,https://pandas.pydata.org/,https://github.com/pandas-dev/pandas,Data,Store & Format
parquet,Parquet,https://parquet.apache.org/,https://github.com/apache/parquet-format,Data,Store & Format
pilosa,Pilosa,https://www.pilosa.com/,https://github.com/pilosa/pilosa,Data,Store & Format
vearch,VEARCH,https://vearch.github.io/,https://github.com/vearch/vearch,Data,Store & Format
vespa,Vespa,https://vespa.ai/,https://github.com/vespa-engine/vespa,Data,Store & Format
vineyard,Vineyard,https://v6d.io/,https://github.com/v6d-io/v6d,Data,Store & Format
dotmesh,dotmesh,https://dotmesh.com/,https://github.com/dotmesh-io/dotmesh,Data,Versioning
dvc,DVC,https://dvc.org/,https://github.com/iterative/dvc,Data,Versioning
quiltdata,Quilt Data,https://docs.quiltdata.com/,https://github.com/quiltdata/quilt,Data,Versioning
mathesar,Mathesar,https://mathesar.org,https://github.com/centerofci/mathesar,Data,Operations
amundsen,Amundsen,https://www.amundsen.io/,https://github.com/amundsen-io/amundsen,Data,Operations
apachehive,Apache Hive,https://hive.apache.org/,https://github.com/apache/hive,Data,Operations
ckan,CKAN,https://ckan.org/,https://github.com/ckan/ckan,Data,Operations
datahub,DataHub,https://github.com/datahub-project/datahub,https://github.com/datahub-project/datahub,Data,Operations
datashim,Datashim,https://github.com/datashim-io/datashim,https://github.com/datashim-io/datashim,Data,Operations
great_expectations,great_expectations,https://greatexpectations.io/,https://github.com/great-expectations/great_expectations,Data,Operations
marquez,Marquez,https://marquezproject.github.io/marquez,https://github.com/MarquezProject/marquez,Data,Operations
snorkel,snorkel,https://www.snorkel.org/,https://github.com/snorkel-team/snorkel,Data,Operations
whylogs,whylogs,https://github.com/whylabs/whylogs,https://github.com/whylabs/whylogs,Data,Operations
feast,Feast,https://feast.dev/,https://github.com/feast-dev/feast,Data,Feature Engineering
feathr,Feathr,https://github.com/linkedin/feathr,https://github.com/linkedin/feathr,Data,Feature Engineering
featuretools,Featuretools,https://www.featuretools.com/,https://github.com/alteryx/featuretools,Data,Feature Engineering
openmldb,OpenMLDB,https://openmldb.ai/,https://github.com/4paradigm/OpenMLDB,Data,Feature Engineering
tsfresh,tsfresh,https://tsfresh.readthedocs.io/en/latest,https://github.com/blue-yonder/tsfresh,Data,Feature Engineering
apacherocketmq,Apache RocketMQ,https://rocketmq.apache.org/,https://github.com/apache/rocketmq,Data,Stream Processing
beam,Beam,https://beam.apache.org,https://github.com/apache/beam,Data,Stream Processing
brooklin,Brooklin,https://github.com/linkedin/Brooklin,https://github.com/linkedin/Brooklin,Data,Stream Processing
faust,faust,https://github.com/robinhood/faust,https://github.com/robinhood/faust,Data,Stream Processing
flink,Flink,https://flink.apache.org/,https://github.com/apache/flink,Data,Stream Processing
fluentd,Fluentd,https://www.fluentd.org,https://github.com/fluent/fluentd,Data,Stream Processing
kafka,Kafka,https://kafka.apache.org/,https://github.com/apache/kafka,Data,Stream Processing
logstash,Logstash,https://www.elastic.co/logstash,https://github.com/elastic/logstash,Data,Stream Processing
nnstreamer,NNStreamer,https://nnstreamer.ai/,https://github.com/nnstreamer/nnstreamer,Data,Stream Processing
pravega,Pravega,https://github.com/pravega/pravega,https://github.com/pravega/pravega,Data,Stream Processing
prefect,PREFECT,https://docs.prefect.io/,https://github.com/PrefectHQ/prefect,Data,Stream Processing
pulsar,Pulsar,https://pulsar.apache.org,https://github.com/apache/pulsar,Data,Stream Processing
samza,Samza,https://samza.apache.org,https://github.com/apache/samza,Data,Stream Processing
ureplicator,uReplicator,https://github.com/uber/uReplicator,https://github.com/uber/uReplicator,Data,Stream Processing
apachedrill,Apache Drill,https://drill.apache.org/,https://github.com/apache/drill,Data,SQL Engine
hawq,Hawq,https://hawq.apache.org,https://github.com/apache/hawq,Data,SQL Engine
presto,Presto,https://prestodb.io/,https://github.com/prestodb/presto,Data,SQL Engine
sqlflow,SQLFlow,https://sql-machine-learning.github.io/,https://github.com/sql-machine-learning/sqlflow,Data,SQL Engine
trino,Trino,https://trino.io/,https://github.com/trinodb/trino,Data,SQL Engine
bokeh,bokeh,https://bokeh.org,https://github.com/bokeh/bokeh,Data,Visualization
carbon,Carbon,https://www.carbondesignsystem.com/,https://github.com/carbon-design-system/carbon,Data,Visualization
d3(data-drivendocuments),D3 (Data-Driven Documents),https://d3js.org,https://github.com/d3/d3,Data,Visualization
dash,dash,https://github.com/plotly/dash,https://github.com/plotly/dash,Data,Visualization
deck.gl,deck.gl,https://deck.gl,https://github.com/visgl/deck.gl,Data,Visualization
ecco,ecco,https://www.eccox.io,https://github.com/jalammar/ecco,Data,Visualization
facets,Facets,https://pair-code.github.io/facets/,https://github.com/PAIR-code/facets,Data,Visualization
grafana,Grafana,https://grafana.com,https://github.com/grafana/grafana,Data,Visualization
metabase,Metabase,https://metabase.com,https://github.com/metabase/metabase,Data,Visualization
prometheus,Prometheus,https://prometheus.io/,https://github.com/prometheus/prometheus,Data,Visualization
rcloud,RCloud,https://rcloud.social/index.html,https://github.com/att/rcloud,Data,Visualization
redash,redash,https://redash.io/,https://github.com/getredash/redash,Data,Visualization
seaborn,seaborn,https://seaborn.pydata.org/,https://github.com/mwaskom/seaborn,Data,Visualization
superset,Superset,https://superset.apache.org,https://github.com/apache/superset,Data,Visualization
tensorboard,TensorBoard,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Data,Visualization
analyticszoo,Analytics Zoo,https://pypi.org/project/analytics-zoo/,https://github.com/intel-analytics/analytics-zoo,Data,Pipeline Management
apacheoozie,Apache Oozie,https://oozie.apache.org,https://github.com/apache/oozie,Data,Pipeline Management
artigraph,Artigraph,https://github.com/artigraph/,https://github.com/artigraph/artigraph,Data,Pipeline Management
dagster,DAGSTER,https://dagster.io/,https://github.com/dagster-io/dagster,Data,Pipeline Management
piflow,PiFlow,https://github.com/cas-bigdatalab/piflow/,https://github.com/cas-bigdatalab/piflow,Data,Pipeline Management
tektonpipelines,Tekton Pipelines,https://tekton.dev/,https://github.com/tektoncd/pipeline,Data,Pipeline Management
tpot,TPOT,https://automl.info/tpot/,https://github.com/EpistasisLab/tpot,Data,Pipeline Management
xtreme1,Xtreme1,https://xtreme1.io,https://github.com/xtreme1-io/xtreme1,Data,Labeling & Annotation
computervisionannotationtool(cvat),Computer Vision Annotation Tool (CVAT),https://github.com/openvinotoolkit/cvat,https://github.com/openvinotoolkit/cvat,Data,Labeling & Annotation
doccano,doccano,https://doccano.herokuapp.com,https://github.com/doccano/doccano,Data,Labeling & Annotation
labelstudio,Label Studio,https://labelstud.io,https://github.com/heartexlabs/label-studio,Data,Labeling & Annotation
labelbox,Labelbox,https://www.labelbox.com,https://github.com/Labelbox/Labelbox,Data,Labeling & Annotation
labelimg,LabelImg,https://github.com/tzutalin/labelImg,https://github.com/tzutalin/labelImg,Data,Labeling & Annotation
semanticsegmentationeditor,Semantic Segmentation Editor,https://github.com/Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor,https://github.com/Hitachi-Automotive-And-Industry-Lab/semantic-segmentation-editor,Data,Labeling & Annotation
visualobjecttaggingtool(vott),Visual Object Tagging Tool (VoTT),https://github.com/Microsoft/VoTT,https://github.com/Microsoft/VoTT,Data,Labeling & Annotation
communitydatalicenseagreement(cdla),Community Data License Agreement (CDLA),https://cdla.dev,https://github.com/lfai/CDLA,Data,Governance
egeria,Egeria,https://egeria-project.org,https://github.com/odpi/egeria,Data,Governance
cleanrl,CleanRL,https://chainerrl.readthedocs.io/en/latest/,https://github.com/vwxyzjn/cleanrl,Reinforcement Learning,Reinforcement Learning
chainerrl,Chainer RL,https://chainerrl.readthedocs.io/en/latest/,https://github.com/chainer/chainerrl,Reinforcement Learning,Reinforcement Learning
coach,Coach,https://nervanasystems.github.io/coach/,https://github.com/IntelLabs/coach,Reinforcement Learning,Reinforcement Learning
deepmindlab,DeepMind Lab,https://github.com/deepmind/lab,https://github.com/deepmind/lab,Reinforcement Learning,Reinforcement Learning
dopamine,Dopamine,https://github.com/google/dopamine,https://github.com/google/dopamine,Reinforcement Learning,Reinforcement Learning
horizon,Horizon,https://engineering.fb.com/2018/11/01/ml-applications/horizon,https://github.com/facebookresearch/ReAgent,Reinforcement Learning,Reinforcement Learning
openaigym,OpenAI Gym,https://www.gymlibrary.ml,https://github.com/openai/gym,Reinforcement Learning,Reinforcement Learning
planet,PlaNet,https://planetrl.github.io/,https://github.com/google-research/planet,Reinforcement Learning,Reinforcement Learning
seedrl,SEED RL,https://github.com/google-research/seed_rl,https://github.com/google-research/seed_rl,Reinforcement Learning,Reinforcement Learning
stablebaselines,Stable Baselines,https://stable-baselines.readthedocs.io/en/master,https://github.com/hill-a/stable-baselines,Reinforcement Learning,Reinforcement Learning
albert,ALBERT,https://github.com/google-research/ALBERT,https://github.com/google-research/ALBERT,Natural Language Processing,Natural Language Processing
allennlp,AllenNLP,https://allenai.org/allennlp,https://github.com/allenai/allennlp,Natural Language Processing,Natural Language Processing
apacheuima,Apache UIMA,https://uima.apache.org/,https://github.com/apache/uima-uimaj,Natural Language Processing,Natural Language Processing
bert,BERT,https://github.com/google-research/bert,https://github.com/google-research/bert,Natural Language Processing,Natural Language Processing
corenlp,CoreNLP,https://stanfordnlp.github.io/CoreNLP/,https://github.com/stanfordnlp/CoreNLP,Natural Language Processing,Natural Language Processing
deepspeech,DeepSpeech,https://deepspeech.readthedocs.io/en/latest,https://github.com/mozilla/DeepSpeech,Natural Language Processing,Natural Language Processing
delta,DELTA,https://delta-didi.readthedocs.io/en/latest,https://github.com/Delta-ML/delta,Natural Language Processing,Natural Language Processing
fasttext,fastText,https://fasttext.cc/,https://github.com/facebookresearch/fastText,Natural Language Processing,Natural Language Processing
flair,Flair,https://github.com/flairNLP/flair,https://github.com/flairNLP/flair,Natural Language Processing,Natural Language Processing
gluon-nlp,Gluon-NLP,https://nlp.gluon.ai,https://github.com/dmlc/gluon-nlp,Natural Language Processing,Natural Language Processing
haystack,Haystack,https://haystack.deepset.ai/,https://github.com/deepset-ai/haystack,Natural Language Processing,Natural Language Processing
kashgari,Kashgari,https://github.com/BrikerMan/Kashgari,https://github.com/BrikerMan/Kashgari,Natural Language Processing,Natural Language Processing
laser,LASER,https://github.com/facebookresearch/LASER,https://github.com/facebookresearch/LASER,Natural Language Processing,Natural Language Processing
lucene,Lucene,https://lucene.apache.org/,https://github.com/apache/lucene-solr,Natural Language Processing,Natural Language Processing
mindmeld,MindMeld,https://www.mindmeld.com/index.html,https://github.com/cisco/mindmeld,Natural Language Processing,Natural Language Processing
nlparchitect,NLP Architect,https://intellabs.github.io/nlp-architect,https://github.com/IntelLabs/nlp-architect,Natural Language Processing,Natural Language Processing
opennlp,OpenNLP,https://opennlp.apache.org/,https://github.com/apache/opennlp,Natural Language Processing,Natural Language Processing
parlai,ParlAI,https://parl.ai/,https://github.com/facebookresearch/ParlAI,Natural Language Processing,Natural Language Processing
pytext,PyText,https://pytext.readthedocs.io/en/master,https://github.com/facebookresearch/pytext,Natural Language Processing,Natural Language Processing
rasanlu,RASA NLU,https://rasa.com/,https://github.com/RasaHQ/rasa,Natural Language Processing,Natural Language Processing
rosaenlg,RosaeNLG,https://rosaenlg.org,https://github.com/RosaeNLG/rosaenlg,Natural Language Processing,Natural Language Processing
spacy,spaCy,https://spacy.io,https://github.com/explosion/spaCy,Natural Language Processing,Natural Language Processing
spark-nlp,Spark-NLP,https://nlp.johnsnowlabs.com,https://github.com/JohnSnowLabs/spark-nlp,Natural Language Processing,Natural Language Processing
transformers,Transformers,https://huggingface.co/docs/transformers/index,https://github.com/huggingface/transformers,Natural Language Processing,Natural Language Processing
xlm,XLM,https://github.com/facebookresearch/XLM,https://github.com/facebookresearch/XLM,Natural Language Processing,Natural Language Processing
youtokentome,YouTokenToMe,https://github.com/VKCOM/YouTokenToMe,https://github.com/VKCOM/YouTokenToMe,Natural Language Processing,Natural Language Processing
adlik,Adlik,https://adlik.ai/,https://github.com/Adlik/Adlik,Model,Inference
causalml,CausalML,https://causalml.readthedocs.io/en/latest/about.html,https://github.com/uber/causalml,Model,Inference
kserve,KServe,https://kserve.github.io/website/,https://github.com/kserve/kserve,Model,Inference
mnn,MNN,https://github.com/alibaba/MNN,https://github.com/alibaba/MNN,Model,Inference
tensorrt,TensorRT,https://developer.nvidia.com/tensorrt,https://github.com/NVIDIA/TensorRT,Model,Inference
tensorrtinferenceserver,TensorRT Inference Server,https://github.com/triton-inference-server/server,https://github.com/triton-inference-server/server,Model,Inference
utensor,uTensor,https://github.com/uTensor/uTensor,https://github.com/uTensor/uTensor,Model,Inference
fate,FATE,https://www.fedai.org/,https://github.com/FederatedAI/FATE,Model,Federated Learning
openfl,OpenFL,https://openfl.readthedocs.io/en/latest,https://github.com/intel/openfl,Model,Federated Learning
pysyft,PySyft,https://blog.openmined.org/tag/pysyft/,https://github.com/OpenMined/PySyft,Model,Federated Learning
